1;admin@admin.com;admin;admin;
3;operator@test.com;parola;operator;
4;candidat1@test.com;parola;candidat;1900101010001
5;candidat2@test.com;parola;candidat;2900202020002
6;candidat3@test.com;parola;candidat;1900303030003
7;candidat4@test.com;parola;candidat;2900404040004
8;candidat5@test.com;parola;candidat;1900505050005
9;candidat6@test.com;parola;candidat;2900606060006
10;candidat7@test.com;parola;candidat;1900707070007
11;candidat8@test.com;parola;candidat;2900808080008
12;candidat9@test.com;parola;candidat;1900909090009
13;candidat10@test.com;parola;candidat;2901010100010
14;candidat11@test.com;parola;candidat;1901111110011
15;candidat12@test.com;parola;candidat;2901212120012
16;candidat13@test.com;parola;candidat;1901313130013
17;candidat14@test.com;parola;candidat;2901414140014
18;candidat15@test.com;parola;candidat;1901515150015
19;candidat16@test.com;parola;candidat;2901616160016
20;candidat17@test.com;parola;candidat;1901717170017
21;candidat18@test.com;parola;candidat;2901818180018
22;candidat19@test.com;parola;candidat;1901919190019
23;candidat20@test.com;parola;candidat;2902020200020
24;candidat21@test.com;parola;candidat;1902121210021
25;candidat22@test.com;parola;candidat;2902222220022
26;candidat23@test.com;parola;candidat;1902323230023
27;candidat24@test.com;parola;candidat;2902424240024
28;candidat25@test.com;parola;candidat;1902525250025
29;candidat26@test.com;parola;candidat;2902626260026
30;candidat27@test.com;parola;candidat;1902727270027
31;candidat28@test.com;parola;candidat;2902828280028
32;candidat29@test.com;parola;candidat;1902929290029
33;candidat30@test.com;parola;candidat;2903030300030
34;candidat31@test.com;parola;candidat;1903131310031
35;candidat32@test.com;parola;candidat;2903232320032
36;candidat33@test.com;parola;candidat;1903333330033
37;candidat34@test.com;parola;candidat;2903434340034
38;candidat35@test.com;parola;candidat;1903535350035
39;candidat36@test.com;parola;candidat;2903636360036
40;candidat37@test.com;parola;candidat;1903737370037
41;candidat38@test.com;parola;candidat;2903838380038
42;candidat39@test.com;parola;candidat;1903939390039
43;candidat40@test.com;parola;candidat;2904040400040
